ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2559	讀	读	tuk2	tʊk2	duk6	P117		
2560	毒	毒	tuk2	tʊk2	duk6	P117		
2561	鹿	鹿	luk2	lʊk2	luk6	P117		
2562	六	六	luk2	lʊk2	luk6	P117		
2563	綠	绿	luk2	lʊk2	luk6	P117		
2564	錄	录	luk2	lʊk2	luk6	P117		
2565	肅	肃	ɬuk5	ɬʊk5	sluk1	P117		
2566	宿	宿	ɬuk5	ɬʊk5	sluk1	P117		原文重複記音[ɬuk/ɬok5]
2567	竹	竹	tʃuk5	tʃʊk5	zuk1	P117		
2568	燭	烛	tʃuk5	tʃʊk5	zuk1	P117		
2569	續	续	tʃuk2	tʃʊk2	zuk6	P117		
2570	族	族	tʃuk2	tʃʊk2	zuk6	P117		
2571	軸	轴	tʃuk2	tʃʊk2	zuk6	P117		
2572	速	速	tʃʰuk5	tʃʰʊk5	cuk1	P117		
2573	促	促	tʃʰuk5	tʃʰʊk5	cuk1	P117		
2574	觸	触	tʃʰuk5	tʃʰʊk5	cuk1	P117		
2575	束	束	tʃʰuk5	tʃʰʊk5	cuk1	P117		
2576	縮	缩	ʃuk5	ʃʊk5	suk1	P117		
2577	叔	叔	ʃuk5	ʃʊk5	suk1	P117		
2578	熟	熟	ʃuk2	ʃʊk2	suk6	P117		
2579	俗	俗	ʃuk2	ʃʊk2	suk6	P117		
2580	贖	赎	ʃuk2	ʃʊk2	suk6	P117		
2581	屬	属	ʃuk2	ʃʊk2	suk6	P117		
2582	谷	谷	kuk5	kʊk5	guk1	P117		
2583	穀	谷	kuk5	kʊk5	guk1	P117		
2584	菊	菊	kuk5	kʊk5	guk1	P117		
2585	局	局	kuk2	kʊk2	guk6	P117		
2586	窟	窟	kʰuɐt5	kʷʰɐt5	kwat1	P117		原文誤作[khuk5]
2587	曲	曲	kʰuk5	kʰʊk5	kuk1	P117	1～折；2歌～	
2588	麯	曲	kʰuk5	kʰʊk5	kuk1	P117		
2589	麴	曲	kʰuk5	kʰʊk5	kuk1	P117		
2590	玉	玉	∅iuk2	jʊk2	juk6	P117	～林	
2591	獄	狱	∅iuk2	jʊk2	juk6	P117		
2592	欲	欲	∅iuk2	jʊk2	juk6	P109，117		原文P109誤作[∅y22]
2593	慾	欲	∅iuk2	jʊk2	juk6	P109，117		原文P109誤作[∅y22]
2594	浴	浴	∅iuk2	jʊk2	juk6	P117		
2595	鉢	钵	put3	put3	but3	P117		
2596	缽	钵	put3	put3	but3	P117		
