ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1705	乾	干	kɔn55	kɔn55	gon1	P113	～溼	
1706	桿	杆	kɔn35	kɔn35	gon2	P113		
1707	趕	赶	kɔn35	kɔn35	gon2	P113		
1708	幹	干	kɔn33	kɔn33	gon3	P113	～部	
1709	岸	岸	ŋɔn22	ŋɔn22	ngon6	P113		
1710	看	看	hɔn55	hɔn55	hon1	P113	～守	
1711	寒	寒	hɔn21	hɔn21	hon4	P113		
1712	汗	汗	hɔn22	hɔn22	hon6	P113		原文誤作[hɔn21]
1713	刊	刊	hɔn35	hɔn35	hon2	P113		
1714	旱	旱	hɔn24	hɔn24	hon5	P113		原文誤作[hɔn35]
1715	看	看	hɔn33	hɔn33	hon3	P113	～見	
1716	漢	汉	hɔn33	hɔn33	hon3	P113		
1717	焊	焊	hɔn22	hɔn22	hon6	P113		
1718	銲	焊	hɔn22	hɔn22	hon6	P113		原文作「焊」字
1719	安	安	∅ɔn55	∅ɔn55	on1	P113		
1720	按	按	∅ɔn33	∅ɔn33	on3	P113		
1721	皿	皿	mɐn24	mɐn24	man5	P113		原文誤作[men24]
1722	舐	舐	lɛm35	lɛm35	lem2	P113		
1723	減	减	kɛm35	kɛm35	gem2	P113		
1724	鉗	钳	kʰɛm21	kʰɛm21	kem4	P113		
1725	鹹	咸	hɛm21	hɛm21	hem4	P113		
1726	喊	喊	hɛm33	hɛm33	hem3	P113		
1727	莧	苋	hɛm22	hɛm22	hem6	P113		
1728	躽	躽	∅ɛn35	∅ɛn35	en2	P113	挺的意思	原文有音無字，誤作[nɛn24]
1729	間	间	kɛn55	kɛn55	gen1	P113	〔白讀〕中～	
1730	簡	简	kɛn35	kɛn35	gen2	P113	〔白讀〕	
1731	揀	拣	kɛn35	kɛn35	gen2	P113	〔白讀〕	原文誤作[kɛn24]
1732	閑	闲	hɛn21	hɛn21	hen4	P113	〔白讀〕	
1733	還	还	∅uɛn21	wɛn21	wen4	P113	〔白讀〕～原	
1734	龐	庞	pʰaŋ21	pʰaŋ21	paang4	P113		
1735	彭	彭	pʰaŋ21	pʰaŋ21	paang4	P113		
1736	棚	棚	pʰaŋ21	pʰaŋ21	paang4	P113		
1737	抨	抨	pʰaŋ24	pʰaŋ24	paang5	P113	～行：攆走	原文有音無字，有誤作[phaŋ35]
1738	盲	盲	maŋ21	maŋ21	maang4	P113		
1739	猛	猛	maŋ24	maŋ24	maang5	P113		原文誤作[maŋ35]
1740	孟	孟	maŋ24	maŋ24	maang5	P113		原文誤作[maŋ35]
1741	𦀬	𦀬	laŋ55	laŋ55	laang1	P113	織～衫：織毛衣	原文有音無字
1742	冷	冷	laŋ24	laŋ24	laang5	P113		原文誤作[laŋ35]
1743	爭	争	tʃaŋ55	tʃaŋ55	zaang1	P113		
1744	撐	撑	tʃʰaŋ55	tʃʰaŋ55	caang1	P113		
1745	鐺	铛	tʃʰaŋ55	tʃʰaŋ55	caang1	P113	烙餅用具	
1746	橙	橙	tʃʰaŋ35	tʃʰaŋ35	caang2	P113		原文誤作[tʃhaŋ24]
1747	牚	牚	tʃʰaŋ33	tʃʰaŋ33	caang3	P113		
1748	生	生	ʃaŋ55	ʃaŋ55	saang1	P113		
1749	甥	甥	ʃaŋ55	ʃaŋ55	saang1	P113		
1750	省	省	ʃaŋ35	ʃaŋ35	saang2	P113	節～	
1751	耕	耕	kaŋ55	kaŋ55	gaang1	P113		
1752	筐	筐	kʰuaŋ55	kʷʰaŋ55	kwaang1	P113		原文誤作[khaŋ55]
1753	硬	硬	ŋaŋ22	ŋaŋ22	ngaang6	P113		原文誤作[ŋaŋ21]
1754	坑	坑	haŋ55	haŋ55	haang1	P113	坑溝；爺～：老頭子	老頭子義原文有音無字，誤作[haŋ33]，此處併入「坑」字
1755	垵	垵	hɐm35	hɐm35	ham2	P113		原文作「埯」字，誤作[haŋ33]，本字「坅」
1756	埯	埯	hɐm35	hɐm35	ham2	P113		原文誤作[haŋ33]，本字「坅」
1757	罌	罂	∅aŋ55	∅aŋ55	aang1	P113	豉油～：醬油壺	原文有音無字
1758	梗	梗	kʰuaŋ35	kʷʰaŋ35	kwaang2	P113		
1759	橫	横	∅uaŋ21	waŋ21	waang4	P113	～直	
1760	崩	崩	pɐŋ55	pɐŋ55	bang1	P113		
1761	烹	烹	pʰɐŋ55	pʰɐŋ55	pang1	P113		
1762	朋	朋	pʰɐŋ21	pʰɐŋ21	pang4	P113		
1763	憑	凭	pʰɐŋ21	pʰɐŋ21	pang4	P113		
1764	蓬	蓬	pʰuŋ21	pʰʊŋ21	pung4	P113		原文誤作[phɐŋ21]
1765	掹	掹	mɐŋ55	mɐŋ55	mang1	P113	～秧：拔秧	原文有音無字，P115誤作[muŋ55]
1766	繃	绷	mɐŋ55	mɐŋ55	mang1	P113	～油：花油	原文有音無字。「繃」指傷口癒合，「繃油」指讓傷口癒合的花油
1767	萌	萌	mɐŋ21	mɐŋ21	mang4	P113		
1768	盟	盟	mɐŋ21	mɐŋ21	mang4	P113		
1769	燈	灯	tɐŋ55	tɐŋ55	dang1	P113		
1770	等	等	tɐŋ35	tɐŋ35	dang2	P113		
1771	凳	凳	tɐŋ33	tɐŋ33	dang3	P113		
1772	鄧	邓	tɐŋ22	tɐŋ22	dang6	P113		
1773	藤	藤	tʰɐŋ21	tʰɐŋ21	tang4	P113		
1774	硬	硬	ŋaŋ35	ŋaŋ35	ngaang2	P113	必	原文有音無字，誤作[nɐŋ35]
1775	能	能	nɐŋ21	nɐŋ21	nang4	P113		
1776	棱	棱	lɐŋ55	lɐŋ55	lang1	P113	在皮膚上抓出的痕跡	原文有音無字
1777	增	增	tʃɐŋ55	tʃɐŋ55	zang1	P113		
1778	僧	僧	tʃɐŋ55	tʃɐŋ55	zang1	P113		
1779	贈	赠	tʃɐŋ22	tʃɐŋ22	zang6	P113		
1780	曾	曾	tʃʰɐŋ21	tʃʰɐŋ21	cang4	P113	～經	原文誤作[tʃhɐŋ55]
1781	層	层	tʃʰɐŋ21	tʃʰɐŋ21	cang4	P113		原文誤作[tʃhɐŋ55]
1782	澄	澄	tʃʰɐŋ21	tʃʰɐŋ21	cang4	P113		原文誤作[tʃhɐŋ22]
1783	㨘	㨘	ʃaŋ35	ʃaŋ35	saang2	P113	甩的意思	原文有音無字，誤作[ʃɐŋ55]
1784	更	更	kɐŋ55	kɐŋ55	gang1	P113	～換	
1785	更	更	kaŋ55	kaŋ55	gaang1	P113	五～	五更義誤作[kɐŋ55]
1786	粳	粳	kɐŋ55	kɐŋ55	gang1	P113		
1787	庚	庚	kɐŋ55	kɐŋ55	gang1	P113		
1788	更	更	kɐŋ33	kɐŋ33	gang3	P113	～加	
1789	哽	哽	kʰɐŋ35	kʰɐŋ35	kang2	P113		
1790	鯁	鲠	kʰɐŋ35	kʰɐŋ35	kang2	P113		原文作「哽」字
1791	骾	鲠	kʰɐŋ35	kʰɐŋ35	kang2	P113		原文作「哽」字
1792	摼	摼	hɐŋ55	hɐŋ55	hang1	P113	用指關節敲	原文有音無字或作「敲」字
1793	亨	亨	hɐŋ55	hɐŋ55	hang1	P113		
1794	揈	揈	fɐŋ33	fɐŋ33	fang3	P113	甩的意思	原文有音無字，誤作[hɐŋ55]
1795	行	行	hɔŋ21	hɔŋ21	hong4	P113	～列	原文誤作[hɐŋ21]
1796	恆	恒	hɐŋ21	hɐŋ21	hang4	P113		
1797	恒	恒	hɐŋ21	hɐŋ21	hang4	P113		
1798	行	行	hɐŋ21	hɐŋ21	hang4	P113	～爲；品～	
1799	杏	杏	hɐŋ22	hɐŋ22	hang6	P113		原文誤作[hɐŋ21]
1800	幸	幸	hɐŋ22	hɐŋ22	hang6	P113		原文誤作[hɐŋ21]
1801	肯	肯	hɐŋ35	hɐŋ35	hang2	P113		
1802	餅	饼	pɛŋ35	pɛŋ35	beng2	P113		原文誤作[pɛŋ55]
1803	病	病	pɛŋ22	pɛŋ22	beng6	P113		
1804	拼	拼	pʰeŋ55	pʰeŋ55	ping1	P114		原文誤作[phɛŋ55]
1805	平	平	pʰeŋ21	pʰeŋ21	ping4	P114		原文誤作[phɛŋ21]
1806	評	评	pʰeŋ21	pʰeŋ21	ping4	P114		原文誤作[phɛŋ21]
1807	明	明	meŋ21	meŋ21	ming4	P114		原文誤作[mɛŋ21]
1808	名	名	mɛŋ21	mɛŋ21	meng4	P114		
1809	命	命	mɛŋ22	mɛŋ22	meng6	P114		
1810	釘	钉	tɛŋ55	tɛŋ55	deng1	P114	鐵～	
1811	訂	订	tɛŋ22	tɛŋ22	deng6	P114		原文誤作[tɛŋ33]
1812	聽	听	tʰɛŋ55	tʰɛŋ55	teng1	P114		
1813	廳	厅	tʰɛŋ55	tʰɛŋ55	teng1	P114		
1814	艇	艇	tʰɛŋ24	tʰɛŋ24	teng5	P114		原文誤作[thɛŋ35]
1815	擰	拧	neŋ55	neŋ55	ning1	P114	～筆：握的意思	原文有音無字，誤作[nɛŋ55]
1816	拎	拎	neŋ55	neŋ55	ning1	P114	～筆：握的意思	原文有音無字，誤作[nɛŋ55]
1817	靈	灵	lɛŋ21	lɛŋ21	leng4	P114		
1818	領	领	lɛŋ24	lɛŋ24	leng5	P114		
1819	嶺	岭	lɛŋ24	lɛŋ24	leng5	P114		
1820	醒	醒	ɬɛŋ35	ɬɛŋ35	sleng2	P114		
1821	精	精	tʃɛŋ55	tʃɛŋ55	zeng1	P114		
1822	清	清	tʃʰɛŋ55	tʃʰɛŋ55	ceng1	P114		原文誤作[tʃɛŋ55]
1823	井	井	tʃɛŋ35	tʃɛŋ35	zeng2	P114		
1824	青	青	tʃʰɛŋ55	tʃʰɛŋ55	ceng1	P114		
1825	聲	声	ʃɛŋ55	ʃɛŋ55	seng1	P114		
1826	頸	颈	kɛŋ35	kɛŋ35	geng2	P114		
1827	鏡	镜	kɛŋ33	kɛŋ33	geng3	P114		
1828	競	竞	keŋ33	keŋ33	ging3	P114		原文誤作[kɛŋ33]
1829	輕	轻	hɛŋ55	hɛŋ55	heng1	P114	～重	
1830	迎	迎	∅ieŋ21	jeŋ21	jing4	P114		原文誤作[∅iɛŋ21]
1831	幫	帮	pɔŋ55	pɔŋ55	bong1	P114		
1832	邦	邦	pɔŋ55	pɔŋ55	bong1	P114		
1833	榜	榜	pɔŋ35	pɔŋ35	bong2	P114		
1834	綁	绑	pɔŋ35	pɔŋ35	bong2	P114		
1835	謗	谤	pɔŋ22	pɔŋ22	bong6	P114		
1836	棒	棒	pɔŋ22	pɔŋ22	bong6	P114		
1837	滂	滂	pʰɔŋ21	pʰɔŋ21	pong4	P114		
1838	旁	旁	pʰɔŋ21	pʰɔŋ21	pong4	P114		
1839	傍	傍	pʰɔŋ21	pʰɔŋ21	pong4	P114		
1840	芒	芒	mɔŋ55	mɔŋ55	mong1	P114		
1841	忙	忙	mɔŋ21	mɔŋ21	mong4	P114		
1842	亡	亡	mɔŋ21	mɔŋ21	mong4	P114		
1843	忘	忘	mɔŋ21	mɔŋ21	mong4	P114		
1844	望	望	mɔŋ22	mɔŋ22	mong6	P114		原文誤作[mɔŋ21]
1845	網	网	mɔŋ24	mɔŋ24	mong5	P114		原文誤作[mɔŋ35]
