ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
2732	譽	誉	0y22	jyː22	jyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	榮譽。	
2733	𠁅	𠁅	tʃʰy33	t͡ʃʰyː33	cyu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	處所。	同「處」字。
2734	遇	遇	0y22	jyː22	jyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2735	寓	寓	0y22	jyː22	jyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2736	庽	庽	0y22	jyː22	jyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2737	樹	树	ʃy22	ʃyː22	syu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2738	住	住	tʃy22	t͡ʃyː22	zyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2739	附	附	fu22	fuː22	fu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2740	注	注	tʃy33	t͡ʃyː33	zyu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2741	鑄	铸	tʃy33	t͡ʃyː33	zyu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2742	蛀	蛀	tʃy33	t͡ʃyː33	zyu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2743	句	句	ky33	kyː33	gyu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2744	戍	戍	ʃy33	ʃyː33	syu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2745	輸	输	ʃy55	ʃyː55	syu1	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	運輸。	
2746	裕	裕	0y22	jyː22	jyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2747	䘱	䘱	0y22	jyː22	jyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2748	衮	衮	0y22	jyː22	jyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		疑錄入有誤，應爲「䘱」字，同「裕」字。
2749	諭	谕	0y21	jyː21	jyu4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2750	喻	喻	0y21	jyː21	jyu4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2751	赴	赴	fu22	fuː22	fu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
