序号	聲韻	聲調	字元	字數
381	tɛŋ 	陽去22	訂, 定	2
382	teŋ 	陰平55	疔, 丁	2
383	teŋ 	陰上35	鼎, 頂	2
384	teŋ 	陽去22	訂, 定, 錠	3
385	tuŋ 	陰平55	冬, 東	2
386	tuŋ 	陰上35	董, 懂	2
387	tuŋ 	陰去33	凍	1
388	tuŋ 	陽去22	動, 棟, 垌, 洞, 侗	5
389	tap 	中入33	答, 搭	2
390	tap 	陽入22	沓, 踏	2
391	tip 	陽入22	碟, 疊, 蝶, 迭, 諜	5
392	tat 	陽入22	達	1
393	tɐt 	陽入22	凸, 突	2
394	tit 	中入33	跌	1
395	tyt 	陽入22	奪	1
396	tɐk 	陰入55	得, 德	2
397	tɐk 	陽入22	特	1
398	tɔk 	陽入22	踱, 度, 鐸	3
399	tek 	陰入55	的, 嫡, 謫, 滴	4
400	tek 	陽入22	荻, 狄, 敵, 笛, 迪, 鏑	6
401	tuk 	陰入55	督	1
402	tuk 	陽入22	獨, 毒, 讀, 牘	4
403	tʰa 	陰平55	他, 它	2
404	tʰɔ 	陰平55	拖	1
405	tʰɔ 	陽平21	馱, 鴕, 駝, 舵	4
406	tʰɔ 	陰上35	妥, 橢	2
407	tʰɔ 	陽上24	舵, 妥	2
408	tʰu 	陰平55	滔	1
409	tʰu 	陽平21	濤, 掏, 陶, 桃, 萄, 途, 塗, 屠, 圖, 綯, 徒, 淘	12
410	tʰu 	陰上35	土, 討	2
411	tʰu 	陽上24	肚	1
412	tʰu 	陰去33	兔, 吐, 套	3
413	tʰai 	陰平55	呔	1
414	tʰai 	陰去33	貸, 太, 泰, 態	4
415	tʰɐi 	陰平55	梯, 銻	2
416	tʰɐi 	陽平21	蹄, 題, 啼, 堤, 提	5
417	tʰɐi 	陰上35	體, 睇	2
418	tʰɐi 	陰去33	剃, 涕, 替	3
419	tʰɔi 	陰平55	胎	1
420	tʰɔi 	陽平21	臺, 枱, 苔, 抬	4
421	tʰui 	陰平55	推	1
422	tʰui 	陽平21	頹	1
423	tʰui 	陰上35	腿	1
424	tʰui 	陰去33	退, 蛻	2
425	tʰɐu 	陰平55	偷	1
426	tʰɐu 	陽平21	投, 頭	2
427	tʰɐu 	陰上35	㪗	1
428	tʰɐu 	陰去33	透	1
429	tʰiu 	陰平55	挑	1
430	tʰiu 	陽平21	調, 條	2
431	tʰiu 	陰上35	挑	1
432	tʰiu 	陰去33	跳	1
