ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1490	鳥	鸟	tEu55	tɛu55	deu3	2000年李連進《南寧近郊平話方言島》P66	麻～，雞巴	原文作「屌」字
1491	板	板	pʰan33	pʰan33	paan2	1997年李榮主編《南寧平話詞典》P161，361	手～心，手掌心；腳～心，腳掌心	
1492	板	板	pʰan33	pʰan33	paan2	2000年李連進《南寧近郊平話方言島》P66	腳～，腳板兒	原文作「攀」字
1493	㞘	㞘	tøk3	tœk3	doek2	2000年李連進《南寧近郊平話方言島》P66	腳～，腳跟兒	
1494	䐁	䐁	tøk3	tœk3	doek2	2000年李連進《南寧近郊平話方言島》P66	腳～，腳跟兒	原文作「㞘」字
1495	屌	屌	tEu55	tɛu55	deu3	2000年李連進《南寧近郊平話方言島》P66	麻～，雞巴	本字「鳥」
1496	杵	杵	tʃʰy24	tʃʰy24	cyu5	1998年陳謨志總纂《南寧市誌·文化卷》P657	舂～，碓杵	原文作「舂柱」，未標音
1497	蟄	蛰	tsek3	tʃek3	zik2	1997年李榮主編《南寧平話詞典》P290	驚蟄	詞表
1498	襰	𧝝	lai23	lai24	laai5	1997年李榮主編《南寧平話詞典》引論P24，364	落[lak2]～：衣着不整	原文有音無字。引論P24釋義的小字部分，正文P364的詞彙部分
1499	硠	硠	ləŋ55	lɐŋ55	lang3	1997年李榮主編《南寧平話詞典》引論P19	半～砊[kʰəŋ55]：一半，半途	原文有音無字。「砊[kʰəŋ55]」的小字部分
1500	鯁	鲠	kəŋ24	kɐŋ24	gang5	1997年李榮主編《南寧平話詞典》P278	～頸，塞頸、噎住喉嚨	原文有音無字
1501	番	番	fan22	fan22	faan6	1997年李榮主編《南寧平話詞典》P221	番桃	
1502	桄	桄	koŋ53	koŋ53	gung1	1997年李榮主編《南寧平話詞典》P296	桄榔樹，桄榔粉	
1503	氈	毡	tsyn53	tʃyn53	zyun1	1997年李榮主編《南寧平話詞典》P212	毯子	
1504	嚕	噜	lu55	lu55	lu3	1997年李榮主編《南寧平話詞典》引論P8	滾～～：物體滾動狀態	原文作「轤」字。元代作「骨碌碌」，又作「骨嚕嚕」
