ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
3013	兩	两	lœŋ24	lœŋ24	loeng5	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	兩個	
3014	兩	两	lœŋ35	lœŋ35	loeng2	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	斤兩	
3015	亮	亮	lœŋ22	lœŋ22	loeng6	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	天亮，亮光	
3016	諒	谅	lœŋ22	lœŋ22	loeng6	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	原諒，諒解	
3017	輛	辆	lœŋ24	lœŋ24	loeng5	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	一輛車	
3018	量	量	lœŋ22	lœŋ22	loeng6	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	數量，氣量	
3019	略	略	lœk2	lœk2	loek6	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	戰略，略微	
3020	掠	掠	lœk3	lœk3	loek3	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	搶掠，掠奪	
3021	將	将	tsœŋ55	tʃœŋ55	zoeng1	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	將來	
3022	漿	浆	tsœŋ55	tʃœŋ55	zoeng1	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	米漿，漿糊	
3023	蔣	蒋	tsœŋ35	tʃœŋ35	zoeng2	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	姓	
3024	獎	奖	tsœŋ35	tʃœŋ35	zoeng2	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	獎品，得獎	
3025	槳	桨	tsœŋ35	tʃœŋ35	zoeng2	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	划槳	
3026	醬	酱	tsœŋ33	tʃœŋ33	zoeng3	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	醬油，辣醬	
3027	將	将	tsœŋ33	tʃœŋ33	zoeng3	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	大將	
3028	爵	爵	tsœk3	tʃœk3	zoek3	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	爵位	
3029	雀	雀	tsʰœk3	tʃʰœk3	coek3	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	打麻雀（麻將），吃谷雀，雀雀兒，麻雀	
3030	槍	枪	tsʰœŋ55	tʃʰœŋ55	coeng1	1998年楊煥典主編《廣西通誌·漢語方言誌》P777	手槍，長槍	
