ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1962	疊	叠	tip2	tip2	dip6	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	摺疊，堆疊	
1963	碟	碟	tip2	tip2	dip6	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	似盤而小	
1964	牒	牒	tip2	tip2	dip6	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	通牒，文牒	
1965	蝶	蝶	tip2	tip2	dip6	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	蝴蝶	
1966	諜	谍	tip2	tip2	dip6	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	間諜	
1967	鮎	鲇	nim21	nim21	nim4	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	鮎魚	
1968	鯰	鲶	nim21	nim21	nim4	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	鯰魚	原文作「鮎」字
1969	拈	拈	nim55	nim55	nim1	1998年楊煥典主編《廣西通誌·漢語方言誌》P721		
1970	拈	拈	nɛm55	nɛm55	nem1	1998年楊煥典主編《廣西通誌·漢語方言誌》P721		
1971	念	念	nim22	nim22	nim6	1998年楊煥典主編《廣西通誌·漢語方言誌》P721		
1972	兼	兼	kim55	kim55	gim1	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	兼職	
1973	搛	搛	kim55	kim55	gim1	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	挾菜	
1974	挾	挟	kap3	kap3	gaap3	1998年楊煥典主編《廣西通誌·漢語方言誌》P721	挾制	
