ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
3256	扔	扔	ŋeŋ53	ŋeŋ53	nging1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	拋，扔掉。	
3257	極	极	kek2	kek2	gik6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	南極，極其。	
3258	凝	凝	neŋ21	neŋ21	ning4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795		
3259	興	兴	heŋ53	heŋ53	hing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	興旺，紹興。	
3260	興	兴	heŋ55	heŋ55	hing3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	高興，興趣。	
3261	應	应	eŋ53	eŋ53	ing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	應該，理應，應當。	
3262	鷹	鹰	eŋ53	eŋ53	ing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	老鷹，鷹潭。	
3263	應	应	eŋ55	eŋ55	ing3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	答應，應允，應對。	
3264	憶	忆	ek3	ek3	ik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	回憶，憶苦思甜。	
3265	抑	抑	jek3	jek3	jik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	壓抑，抑制。	
3266	億	亿	ek3	ek3	ik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	億萬。	
3267	蠅	蝇	eŋ53	eŋ53	ing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	蒼蠅。	
3268	孕	孕	ȵɐn22	ȵɐn22	njan6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	懷孕，孕婦。	
3269	翼	翼	jek2	jek2	jik6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	翅膀，機翼。	
3270	國	国	kok3	kok3	gok2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	國家，中國。	
3271	弘	弘	hœŋ21	hœŋ21	hoeng4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	弘揚。	
3272	或	或	wak2	wak2	waak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	或者，間或。	
3273	惑	惑	wak2	wak2	waak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	迷惑，惑衆。	
3274	域	域	wiɐk24	wiɐk24	wiak5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	地域。	
3275	百	百	piɐk3	piɐk3	biak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	一百，百姓。	
3276	柏	柏	pʰiɐk3	pʰiɐk3	piak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	柏樹，松柏。	
3277	伯	伯	piɐk3	piɐk3	biak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	伯伯，伯父。	
3278	迫	迫	pek3	pek3	bik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	迫害，壓迫。	
3279	烹	烹	pʰɐŋ53	pʰɐŋ53	pang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	烹調。	
3280	拍	拍	pʰiɐk3	pʰiɐk3	piak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	拍灰，拍照，球拍。	
3281	魄	魄	pʰiɐk3	pʰiɐk3	piak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	魂魄，氣魄。	
3282	彭	彭	pɐŋ21	pɐŋ21	bang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P796	姓。	
3283	膨	膨	pɐŋ21	pɐŋ21	bang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	膨脹。	
3284	白	白	piɐk2	piɐk2	biak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	顏色，白吃。	
3285	帛	帛	piɐk2	piɐk2	biak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	財帛。	
3286	盲	盲	mœŋ21	mœŋ21	moeng4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	盲人，文盲。	
3287	虻	虻	maŋ21	maŋ21	maang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	牛虻。	
3288	猛	猛	maŋ24	maŋ24	maang5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	猛烈，兇猛。	
3289	孟	孟	miɐŋ24	miɐŋ24	miang5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	姓，孟子。	
3290	𢫦	𢫦	mak24	mak24	maak5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	打。	
3291	陌	陌	mak24	mak24	maak5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	陌生。	
3292	打	打	ta33	ta33	daa2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	打人，打發，打針。	
3293	冷	冷	liɐŋ24	liɐŋ24	liang5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	天冷，冷清。	
3294	撐	撑	ʧʰiɐŋ53	tʃʰiɐŋ53	ciang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	撐傘，支撐。	
3295	牚	牚	ʧʰiɐŋ55	tʃʰiɐŋ55	ciang3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	椅子牚。	
3296	拆	拆	ʧʰiɐk3	tʃʰiɐk3	ciak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	拆開，拆卸。	
