ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1211	瓢	瓢	piu21	piu21	biu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P139		
1212	嫖	嫖	piu53	piu53	biu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P139		原文如此，疑誤
1213	苗	苗	miu21	miu21	miu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P139		
1214	描	描	miu21	miu21	miu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P140		
1215	秒	秒	miu24	miu24	miu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P144		
1216	渺	渺	miu24	miu24	miu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P144		
1217	藐	藐	miu24	miu24	miu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P145		
1218	廟	庙	miu22	miu22	miu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P146		
1219	妙	妙	miu22	miu22	miu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P146		
1220	燎	燎	liu21	liu21	liu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P144	燙	
1221	療	疗	liu22	liu22	liu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P147		
1222	焦	焦	tsiu53	tʃiu53	ziu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P140		
1223	蕉	蕉	tsiu53	tʃiu53	ziu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P140		
1224	椒	椒	tsiu53	tʃiu53	ziu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P140		
1225	剿	剿	kiu33	kiu33	giu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P145	清剿	
1226	鍬	锹	tsʰiu53	tʃʰiu53	ciu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P140		
1227	俏	俏	tsʰiu55	tʃʰiu55	ciu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P146		
1228	消	消	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P140		
1229	宵	宵	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P140		
1230	霄	霄	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P141		
1231	硝	硝	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P141		
1232	銷	销	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P141		
1233	小	小	ɬiu33	ɬiu33	sliu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P145		
1234	笑	笑	ɬiu55	ɬiu55	sliu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P146		
1235	朝	朝	tsiu53	tʃiu53	ziu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P141	朝夕	
1236	超	超	tsʰiu53	tʃʰiu53	ciu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P141		
1237	朝	朝	tsiu21	tʃiu21	ziu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P141	朝代	
1238	潮	潮	tsiu21	tʃiu21	ziu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P141		
1239	趙	赵	tsiu22	tʃiu22	ziu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P145		
1240	兆	兆	tsiu22	tʃiu22	ziu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P145		
1241	召	召	tsiu22	tʃiu22	ziu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P147	號召	
1242	昭	昭	tsiu53	tʃiu53	ziu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P141		
1243	招	招	tsiu53	tʃiu53	ziu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P141		
1244	沼	沼	tsiu53	tʃiu53	ziu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P145		
1245	照	照	tsiu55	tʃiu55	ziu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P147		
1246	燒	烧	siu53	ʃiu53	siu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P142		
1247	少	少	siu33	ʃiu33	siu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P145	多少	
1248	少	少	siu55	ʃiu55	siu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P147	少年	
1249	韶	韶	siu21	ʃiu21	siu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P142		
1250	紹	绍	siu22	ʃiu22	siu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P145		
1251	邵	邵	siu22	ʃiu22	siu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P147		
1252	饒	饶	∅iu21	jiu21	jiu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P144		
1253	擾	扰	∅iu24	jiu24	jiu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P146		
1254	驕	骄	kiu53	kiu53	giu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P142		
1255	嬌	娇	kiu53	kiu53	giu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P142		
1256	蕎	荞	kiu21	kiu21	giu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P142		
1257	僑	侨	kiu21	kiu21	giu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P142		
1258	橋	桥	kiu21	kiu21	giu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P142		
1259	喬	乔	kiu21	kiu21	giu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P142		
1260	轎	轿	kiu22	kiu22	giu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P147		
1261	囂	嚣	hiu53	hiu53	hiu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P143		
1262	妖	妖	∅iu53	jiu53	jiu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P143		
1263	邀	邀	∅iu53	jiu53	jiu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P143		
1264	腰	腰	∅iu53	jiu53	jiu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P143		
1265	要	要	∅iu53	jiu53	jiu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P143	要求	
1266	要	要	∅iu55	jiu55	jiu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P147	想要	
1267	搖	摇	∅iu21	jiu21	jiu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P143		
1268	謠	谣	∅iu21	jiu21	jiu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P143		
1269	姚	姚	∅iu21	jiu21	jiu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P143		
1270	窯	窑	∅iu21	jiu21	jiu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P143		
1271	耀	耀	∅iu22	jiu22	jiu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P147		
1272	鷂	鹞	∅iu22	jiu22	jiu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P147		
1273	刁	刁	tiu53	tiu53	diu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P148		
1274	雕	雕	tiu53	tiu53	diu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P148		
1275	貂	貂	tiu53	tiu53	diu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P148		
1276	鳥	鸟	tiu33	tiu33	diu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P150	禽鳥	原文如此，疑排版錯誤
1277	吊	吊	tiu55	tiu55	diu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P151		
1278	弔	吊	tiu55	tiu55	diu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P151		
1279	釣	钓	tiu55	tiu55	diu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P151		
