ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
196	也	也	jiE13	je24	je5	2000年李連進《平話音韻研究》P22	也是	
197	野	野	jiE13	je24	je5	2000年李連進《平話音韻研究》P22		
198	夜	夜	jiE223	je22	je6	2000年李連進《平話音韻研究》P23		
199	傻	傻	ɬɔ21	ɬo21	slo4	2000年李連進《平話音韻研究》P23		
200	瓜	瓜	kʷa41	kʷa53	gwaa1	2000年李連進《平話音韻研究》P23		
201	蝸	蜗	kɔ41	ko53	go1	2000年李連進《平話音韻研究》P23		
202	寡	寡	kʷa33	kʷa33	gwaa2	2000年李連進《平話音韻研究》P23		
203	剮	剐	kʷa33	kʷa33	gwaa2	2000年李連進《平話音韻研究》P23		
204	誇	夸	kʰʷa41	kʷʰa53	kwaa1	2000年李連進《平話音韻研究》P23		
205	垮	垮	kʰʷa41	kʷʰa53	kwaa1	2000年李連進《平話音韻研究》P24		
206	跨	跨	kʰʷa41	kʷʰa53	kwaa1	2000年李連進《平話音韻研究》P24		
207	瓦	瓦	wua13	wa24	waa5	2000年李連進《平話音韻研究》P24	名詞，瓦片；動詞，瓦解	
208	花	花	wua41	wa53	waa1	2000年李連進《平話音韻研究》P24		
209	化	化	wua55	wa55	waa3	2000年李連進《平話音韻研究》P24		
210	華	华	wua21	wa21	waa4	2000年李連進《平話音韻研究》P24	中華；華山、姓	
211	鏵	铧	wua21	wa21	waa4	2000年李連進《平話音韻研究》P24		
212	划	划	tɕau223	tʃau22	zaau6	2000年李連進《平話音韻研究》P24	划船	訓讀「棹/櫂」，原文誤作「劃」字，此處改爲「划」
213	蛙	蛙	wua41	wa53	waa1	2000年李連進《平話音韻研究》P25，84		原文P25誤作[wua55]
214	窪	洼	wua41	wa53	waa1	2000年李連進《平話音韻研究》P25		原文誤作[wua55]
215	補	补	pu33	pu33	bu2	2000年李連進《平話音韻研究》P25		
216	譜	谱	pʰu33	pʰu33	pu2	2000年李連進《平話音韻研究》P25		
217	布	布	pu55	pu55	bu3	2000年李連進《平話音韻研究》P25		
218	佈	布	pu55	pu55	bu3	2000年李連進《平話音韻研究》P25		
219	鋪	铺	pʰu41	pʰu53	pu1	2000年李連進《平話音韻研究》P25	鋪設	
220	普	普	pʰu33	pʰu33	pu2	2000年李連進《平話音韻研究》P25		
