繁體	簡體	南寧白話	又音	廣州話
耛	耛	ji4		ji4
耜	耜	zi6	(老派)zy6	zi6
耤	耤	zik6		zik6
耥	耥	tong2「耥耙」		tong2
耦	耦	ngau5		ngau5
耨	耨	nau6		nau6
耩	耩	gong2		gong2
耬	耧	lau4		lau4
耰	耰	jau1		jau1
耳	耳	ji5		ji5
耶	耶	je4		je4
耷	耷	daap3「耳朵大」	(語)dap1「下垂」	daap3
耽	耽	daam1		daam1
耾	耾	hung4	(又)wang4	wang4
耿	耿	gang2		gang2
聃	聃	daam1		daam1
聆	聆	ling4		ling4
聊	聊	liu4		liu4
聒	聒	gwaat3		kut3
聖	圣	sing3		sing3
聘	聘	ping3		ping3
聚	聚	zyu6		zeoi6
聞	闻	man4		man4
聢	聢	ding6		ding6
聯	联	lyun4「聯合；縫製」	(又)lin4「聯繫」,(又)lim4	lyun4
聰	聪	cung1		cung1
聱	聱	ngu4		ngou4
聲	声	(白)seng1	(文)sing1	sing1
聳	耸	slung2		sung2
聶	聂	nip6		nip6
職	职	zik1		zik1
聹	聍	ning4		ning4
聽	听	(白)teng1「聽見」,ting3「聽候」	(文)ting1	1)ting1:聽見 2)ting3:聽其自然
聾	聋	lung4		lung4
聿	聿	wat6	(又)lat6,(又)lyut6	wat6；(俗)leot6
肂	肂	si3	(老派)sy3	si3
肄	肄	ji6		ji6
肅	肃	sluk1		suk1
肆	肆	sli3「四字的大寫」,si3「放肆」	(老派)sy3「放肆」	1)si3:肆無忌憚 2)sei3:四字的大寫
肇	肇	siu6		siu6
肉	肉	juk6		juk6
肊	肊	jik1「嗝」	(語)ik1「打～，打嗝」	jik1
肋	肋	lak6「肋骨，打赤肋」	(又)lak1「胳肋，腋窩」,(又)laak6「肋骨，打赤肋」	lak6
肌	肌	gi1		gei1
肓	肓	fong1		fong1
肖	肖	ciu3「生肖，肖像」,sliu1「姓，蕭字俗寫」		ciu3
肘	肘	zau2		zaau2
肚	肚	tu5		tou5
肛	肛	gong1		gong1
肝	肝	gon1		gon1
股	股	gu2		gu2
肢	肢	zi1		zi1
肥	肥	fi4		fei4
