繁體	簡體	南寧白話	又音	廣州話
蟹	蟹	haai5		haai5
蟻	蚁	ngai5		ngai5
蟾	蟾	sim4	(白)kam4	sim4
蟿	蟿	kai3		kai3
蠀	𧏗	ci1「蠀螬」,zik1「尺蠖蟲」	(老派)cy1	ci1,zik1
蠃	蠃	lo2		lo2
蠄	蠄	kam4		kam4
蠅	蝇	(白)jing1	(文)jing4	jing4
蠆	虿	caai3		caai3
蠈	蠈	cak6		caak6
蠊	蠊	lim4		lim4
蠍	蝎	hit3	(又)kit3	kit3；(又)hit3
蠐	蛴	cai4		cai4
蠑	蝾	wing4	(又)jung4	wing4
蠓	蠓	mung4	(又)mung2	mung5
蠔	蚝	hu4		hou4
蠕	蠕	jyu4		jyu4
蠖	蠖	wok6		wok6
蠚	蠚	hok3		hok3
蠟	蜡	laap6		laap6
蠡	蠡	lai5		lai5
蠢	蠢	can2	(老派)cyun2	ceon2
蠣	蛎	lai6		lai6
蠯	蠯	pi4		pei4
蠱	蛊	gu2		gu2
蠲	蠲	gyun1		gyun1
蠵	蠵	kwai4		kwai4
蠶	蚕	caam4		caam4
蠹	蠹	du3		dou3
蠻	蛮	maan4		maan4
血	血	hyut3		hyut3
衄	衄	nuk6		nuk6
衅	衅	jan3	(又)han3	jan3
衆	众	zung3		zung3
衊	蔑	mit6		mit6
行	行	haang4「行路」,hong4「銀行」,hang4「行爲」		1)hang4:步行 2)hang6:品行，道行 3)hong4:單行
衍	衍	jin2	(又)hin2	jin2；(又)jin5 (俗)hin2
衎	衎	hon3		hon3
衒	衒	jyun6	(又)jyun4	jyun6
術	术	sat6	(老派)slyut6,(又)slat6	seot6
衕	同	tung4「衚衕」,dung6「腹瀉」		dung6,tung4
衖	衖	hong2「同巷字，街巷」,lung6「里衖，又作里弄」		lung6,hong6
街	街	gaai1		gaai1
衙	衙	ngaa4		ngaa4
衚	胡	wu4		wu4
衛	卫	wai6		wai6
衝	冲	cung1		cung1
衞	卫	wai6		wai6
衡	衡	hang4		hang4；(古)通橫
衢	衢	kyu4		keoi4
衣	衣	ji1		1)ji1:衣服 2)ji3:衣錦還鄉
表	表	biu2「表面」		1)biu2:表面 2)biu1:手表
衩	衩	caa3		caa3
衫	衫	saam1		saam1
衰	衰	sui1「倒楣」		seoi1；(古)同縗ceoi1 等衰
衲	衲	naap6		naap6
衷	衷	zung1	(又)cung1	zung1 或 cung1
衹	衹	zi2「同祇字」,ki4「同祇字；衹衼」		zi2,kei4
衼	衼	zi1		zi1
衽	衽	jam6		jam6
衾	衾	kam1		kam1
衿	衿	kam1		kam1
袁	袁	jyun4		jyun4
袂	袂	mai6		mai6
袈	袈	gaa1		gaa1
袋	袋	doi6		doi6
袌	袌	pu4「同袍字」,pu5「同抱字」		paau3,pou5
袍	袍	pu4		pou4
袒	袒	taan2		taan2
袖	袖	zau6		zau6
袞	衮	gwan2		gwan2
袤	袤	mau6		mau6
袪	袪	kyu1		keoi1
被	被	bi6「被動」,pi5「棉被」		1)pei5:棉被 2)bei6:被動；(古)同披pei1
袱	袱	fuk6		fuk6
袲	袲	ji4		ji4
袴	袴	fu3		fu3
袷	袷	gaap3「袷衣」		gaap3
袺	袺	git3		git3
裁	裁	coi4		coi4
裂	裂	lit6		lit6
裇	裇	slat1	(又)slyut1	seot1
裉	裉	kang3		kang3
裊	袅	niu5		niu5
裌	裌	gaap3「裌衣」		gaap3
裏	里	(習)li5	(書)lyu5	1)leoi5:裏外 2)lei5:衣裏
裔	裔	jui6		jeoi6
裕	裕	jyu6		jyu6
裘	裘	kau4		kau4
裙	裙	kwan4		kwan4
裛	裛	jap1		jap1
補	补	bu2		bou2
裝	装	zong1		zong1
裟	裟	saa1		saa1
裡	里	(習)li5	(書)lyu5	lei5,leoi5
裨	裨	bi1「裨益」,pi4「裨將」		1)bei1:裨益 2)pei4:裨將
裰	裰	zyut3		zyut3
裱	裱	biu2		biu2
裲	裲	loeng5		loeng5
裳	裳	soeng4		soeng4
裴	裴	pui4		pui4
裸	裸	lo2		lo2
裹	裹	(書)gwo2	(習)go2	gwo2
製	制	zai3		zai3
裾	裾	gyu1		geoi1
褂	褂	gwaa3		gwaa3
褆	褆	tai4「衣厚貌」,si6「衣服端正貌」		tai4,si6
複	复	fuk1		fuk1
褌	裈	gwan1		gwan1
褐	褐	hot3		hot3
褒	褒	bu1	(白)baau1	bou1
褓	褓	bu2		bou2
褕	褕	jyu4		jyu4
褙	褙	bui3		bui3
褚	褚	cyu5		cyu5；(又)cyu2
褡	褡	daap3		daap3
褥	褥	juk6		juk6
褦	褦	(習)le5「褦襶」,nang3「連帶，又作㨢字」	(書)naai6「褦襶」	naai6,nang3
褪	褪	tan3「褪後，後退」,tui3「褪色」		1)tan3:把袖子褪下來 2)teoi3:褪色
褫	褫	ci2		ci2
褭	褭	niu5		niu5
褯	褯	zek6	(又)zik6	zik6
褰	褰	hin1		hin1
褲	裤	fu3		fu3
褳	裢	lin4		lin4
褶	褶	zip3		zip3或zaap6
褷	褷	si1	(老派)sy1	si1
褸	褛	lau1「大衣」,lyu5「襤褸」		lau5；(又)leoi5
褻	亵	slit3		sit3
襀	𫌀	zik1		zik1
襁	襁	koeng5		koeng5
襄	襄	sloeng1		soeng1
襉	裥	gaan2		gaan2
襌	襌	daan1		daan1
襖	袄	u3		ou3；(又)ou2
襚	襚	sui6		seoi6
襞	襞	bik1		bik1
襟	襟	kam1		kam1
襠	裆	dong1	(語)nong1「又作𧟘字」	dong1
襤	褴	laam4		laam4
襦	襦	jyu4		jyu4
襪	袜	mat6	(又)maat6	mat6
襫	襫	sik1		sik1
襬	摆	baai2		baai2
襭	襭	kit3		kit3
襯	衬	can3		can3
襲	袭	zap6		zaap6
襴	襕	laan4		laan4
襶	襶	(習)de2「褦襶」	(書)daai3「褦襶」	daai3
襷	襷	gyu2		geoi2
襹	襹	si1	(老派)sy1	si1
襻	襻	paan3		paan3
西	西	slai1		sai1
要	要	jiu3「重要」,jiu1「要求」		1)jiu3:重要 2)jiu1:要求
覃	覃	taam4「覃思」,cam4「姓」		1)taam4:覃第 2)cam4:姓覃
覆	覆	fuk1		fuk1
覈	核	hat6		hat6
見	见	gin3		1)gin3:看見 2)jin6:同現
規	规	kwai1		kwai1
覓	觅	mik6		mik6
視	视	si6		si6
覗	覗	ci6	(老派)cy6	zi6
覘	觇	zim1		zim1
覛	𫌪	mak6「察看」,mik6「同覓字」		mak6,mik6
覡	觋	hat6		hat6
覦	觎	jyu4		jyu4
親	亲	can3「親家」,can1「親切」		1)can1:雙親 2)can3:親家
覬	觊	gi3		gei3
覲	觐	gan6		gan6；(又)gan2
覷	觑	cyu3		ceoi3
覺	觉	gok3「覺悟」,koek3「感覺，發覺」,(白)geu3「睡覺」	(文)gaau3,(常)kok3「知覺」	1)gok3:感覺 2)gaau3:睡覺
覽	览	(習)laam2	(書)laam5	laam5
覿	觌	dik6		dik6
觀	观	gun3「寺觀」,gun1「參觀」		1)gun1:參觀 2)gun3:寺觀
角	角	gok3		gok3
觕	觕	cu1「同粗字」		cou1
觖	觖	kyut3		kyut3
觚	觚	gu1		gu1
觜	觜	zui2「同嘴字」,zi1「二十八宿之一」	(老派)zy1	zeoi2,zi1
解	解	gaai3「押解」,gaai2「解開」,haai6「姓」		1)gaai2:瓦解 2)gaai3:解款 3)haai6:姓解
觥	觥	gwang1		gwang1
触	触	cuk1		zuk1
觫	觫	cuk1		cuk1
觱	觱	bit1		bit1
觴	觞	soeng1		soeng1
觸	触	cuk1		zuk1；(又)cuk1
觺	觺	ni4	(又)ji4	ji4
言	言	jin4		jin4
訂	订	(白)deng6	(文)ding6	ding3
訃	讣	fu6		fu6
訄	訄	kau4		kau4
訇	訇	gwang1		gwang1
計	计	gai3「計算」,gi3「老夥計」	(白)gai2「諗計，想辦法」	1)gai3:計算 3)gei3:夥計
訊	讯	slan3	(老派)slyun3	seon3
訌	讧	hung4		hung4
討	讨	tu2		tou2
訏	訏	hyu1		heoi1
訐	讦	kit3		kit3
訒	讱	jan6		jan6
訓	训	fan3	(白)wan3	fan3
訕	讪	saan3		saan3
訖	讫	ngat6「收訖」	(又)gat1	ngat6；(又)gat1
託	托	tok3		tok3
記	记	gi3		gei3
訛	讹	ngo4		ngo4
訝	讶	ngaa6		ngaa6
訟	讼	zung6		zung6
訢	䜣	jan1「同欣字」	(舊)ham1,(又)han1	jan1,hei1,ngan4
訣	诀	kyut3		kyut3
訥	讷	nat6		neot6；(又)nat6,naap6
訩	讻	hung1		hung1
訪	访	fong2		fong2
設	设	cit3		cit3
許	许	hyu2		heoi2
訴	诉	slu3		sou3
訶	诃	ho1		ho1
診	诊	can2		can2
註	注	zyu3		zyu3
訾	訾	zi2「詆毁」,zi1「姓」	(老派)zy2,(老派)zy1	zi2,zi1
訿	訿	zi2	(老派)zy2	zi2
詁	诂	gu2		gu2
詄	詄	dit6		dit6
詆	诋	dai2		dai2
詈	詈	li6		lei6
詎	讵	gyu6		geoi6
詏	詏	(白)eu3「詏頸，頂嘴，又作拗字」	(文)aau3	aau3
詐	诈	zaa3		zaa3
詒	诒	ji4		ji4
詔	诏	ziu3	(又)ziu1	ziu3
評	评	ping4		ping4
詛	诅	zo2		zo3；(又)zo2
詞	词	ci4	(老派)cy4	ci4
詠	咏	wing5		wing6
詡	诩	hyu2		heoi2
詢	询	slan4	(老派)slyun4	seon1
詣	诣	ngai6		ngai6
試	试	si3		si3
詩	诗	si1		si1
詫	诧	caa3		caa3
詬	诟	gau3		gau3
詭	诡	gwai2		gwai2
詮	诠	cyun4		cyun4
詰	诘	kit3「詰問」,gat1「詰屈聱牙」		kit3
話	话	waa6		waa6
該	该	goi1		goi1
詳	详	coeng4		coeng4
詵	诜	slan1		san1
詹	詹	zim1		zim1
詼	诙	fui1		fui1
誃	誃	ci2		ci2
誄	诔	lui6		loi6,leoi6
誅	诛	zyu1		zyu1
誇	夸	kwaa1		kwaa1
誌	志	zi3		zi3
認	认	jing6		jing6
誏	誏	long6「閑言；戲言」,long5「同朗字」		long6,long5
誑	诳	(書)kwong4	(習)kong4	kong4；(又)kwong4
誒	诶	e6		e6,ei6
誓	誓	sai6		sai6
誕	诞	daan3		daan3
誘	诱	jau5		jau5
誚	诮	ciu3		ciu3
語	语	jyu5		1)jyu5:語言 2)jyu6:不以語人
誠	诚	sing4		sing4
誡	诫	gaai3		gaai3
誣	诬	mu1		mou4
誤	误	ng6		ng6
誥	诰	gu3		gou3
誦	诵	zung6		zung6
誨	诲	fui3	(舊)fui2	fui3
說	说	syut3「說話」,sui3「說服」		1)syut3:說話 2)seoi3:游說；(古)同悅
説	说	syut3「説話」,sui3「説服」		1)syut3:説話 2)seoi3:游説；(古)同悦
誰	谁	sui4		seoi4
課	课	ko3	(又)fo3	fo3
誹	诽	fi2		fei2
誺	𫍧	ci1「不知」,loi6「誤」		ci1,loi6
誼	谊	ni6	(又)ji6	ji4；(又)ji6
調	调	diu6「音調」,tiu4「調和」		1)tiu4:調和 2)diu6:腔調
諂	谄	cim2		cim2
諃	諃	cam1		cam1
諄	谆	zan1	(老派)zyun1	zeon1
談	谈	taam4		taam4
諉	诿	wai2		wai2
請	请	cing2	(白)ceng2	cing2
諍	诤	zaang3	(又)zang3	zang3
諏	诹	zau1		zau1
諑	诼	doek3	(又)zok3	doek3
諒	谅	loeng6		loeng6
諔	諔	cuk1		cuk1
論	论	lan6	(老派)lyun6	leon6；論語又讀leon4
諗	谂	(訓)nam2「訓讀爲恁，思考」,sam2「諗知」		nam2,sam2
諛	谀	jyu4		jyu4
諜	谍	dip6		dip6
諟	諟	si6		si6
諠	諠	hyun1		hyun1
諡	谥	si3		si3
諢	诨	wan6		wan6
諤	谔	ngok6		ngok6
諦	谛	dai3		dai3
諧	谐	haai4		haai4
諫	谏	gaan3		gaan3
諭	谕	jyu6		jyu6
諮	咨	zi1	(老派)zy1	zi1
諰	𫍰	slai2		saai2
諱	讳	wai6		wai5
諳	谙	am1		am1
諶	谌	sam4		sam4
諷	讽	fung2		fung3
諸	诸	zyu1		zyu1
諺	谚	jin6		jin6
諾	诺	nok6		nok6
謀	谋	mau4		mau4
謁	谒	jit3		jit3
謂	谓	wai6		wai6
謄	誊	tang4		tang4
謊	谎	fong1	(又)fong2	fong1
謎	谜	(書)mai4	(習)mi4	mai4
謐	谧	mat6		mat6
謔	谑	joek6		joek6
謕	謕	tai4		tai4
謖	谡	suk1	(又)sluk1	suk1
謗	谤	bong2	(又)bong6	pong3
謘	謘	ci4	(又)zi6	ci4,zi6
謙	谦	him1		him1
謚	谥	si3		si3
講	讲	gong2		gong2
謝	谢	ze6		ze6
謠	谣	jiu4		jiu4
謨	谟	mo1		mou4
謫	谪	zaak6		zaak6
謬	谬	mau6		mau6
謳	讴	au1		au1
謹	谨	gan2		gan2
謾	谩	maan6「謾罵」		maan4,maan6
譁	哗	waa1		waa1
譅	䜧	sap1	(語)saap3「～氣，傷腦筋」	sap1
譆	𫍻	hi1		hei1
證	证	zing3		zing3
譎	谲	kyut3		kyut3
譏	讥	gi1		gei1
譔	譔	(習)zyun6	(書)zaan6	zaan6
譖	谮	zam3	(又)cam3	zam3,cam3
譗	譗	zaap3		zaap3
識	识	sik1「知識」,zi3「標識」		sik1；(古)zi3博聞強識
譙	谯	ciu4		ciu4
譚	谭	taam4		taam4
譜	谱	pu2		pou2
警	警	ging2		ging2
譫	谵	zim1		zim1
譬	譬	pi3	(訓)bi2「訓讀爲比」	pei3
譭	毁	wai2		wai2
譯	译	jik6		jik6
議	议	ji5		ji5
譴	谴	hin2		hin2
護	护	wu6		wu6
譸	诪	zau1		zau1
譽	誉	jyu6		jyu6
譾	谫	zin2		zin2
讀	读	duk6		duk6
變	变	bin3		bin3
讋	詟	zip3		zip3
讎	雠	cau4		cau4
讐	讐	cau4		cau4
讒	谗	caam4		caam4
讓	让	joeng6		joeng6
讖	谶	cam3		cam3
讚	赞	zaan3		zaan3
谷	谷	guk1		guk1；1)(古地名)juk6 吐谷渾 2)(古地名)luk6 谷蠡
谼	谼	hung4		hung4
谿	谿	kai1		kai1；同豀hai4
豁	豁	fut3		kut3
豆	豆	dau6		dau6
豇	豇	gong1		gong1
豈	岂	hi2		hei2
豉	豉	si6		si6
豊	豊	lai5		lai5
豌	豌	wun2	(又)wun1	wun2；(又)wun1
豎	竖	syu6		syu6
豐	丰	fung1		fung1
豔	艳	(書)jim6	(習)jin3	jim6
豕	豕	ci2	(又)si2	ci2
豚	豚	tan4		tyun4
豝	豝	baa1		baa1
象	象	zoeng6		zoeng6
豢	豢	waan6		waan6
豪	豪	hu4		hou4
豫	豫	jyu6		jyu6
豬	猪	zyu1		zyu1
豳	豳	ban1		ban1
豶	豮	fan4		fan4
豸	豸	zi6	(又)zaai6	zi6,zaai6
豹	豹	baau3	(白)beu3,(又)peu3,(又)paau3	paau3
豺	豺	caai4	(又)coi4	caai4
貂	貂	diu1		diu1
貅	貅	jau1		jau1
貉	貉	hok6「貉子」,mak6「同貊字」		hok6；(古)同貊mak6
貊	貊	mak6		mak6
貌	貌	maau6		maau6
貍	貍	li4		lei4
貐	貐	jyu5		jyu5
貓	猫	(白)meu1	(文)maau1	maau1
貔	貔	pi4		pei4
貘	貘	mok6	(又)mak6	mak6,mok6
貛	獾	fun1		fun1
貝	贝	bui3		bui3
貞	贞	zing1		zing1
負	负	fu6		fu6
財	财	coi4		coi4
貢	贡	gung3		gung3
貧	贫	pan4		pan4
貨	货	fo3		fo3
販	贩	faan3		faan3
貪	贪	taam1		taam1
貫	贯	gun3		gun3
責	责	zaak3		zaak3；同債
貯	贮	cyu5		cyu5；(又)cyu2
貰	贳	sai3		sai3
貲	赀	zi1	(老派)zy1	zi1
貳	贰	ji6		ji6
貴	贵	gwai3		gwai3
貶	贬	(白)ben2	(文)bin2	bin2
買	买	maai5		maai5
貸	贷	taai3	(又)doi6	taai3
貺	贶	fong3		fong3
費	费	fai3		fai3；(地名)bei3費縣
貼	贴	tip3		tip3
貽	贻	ji4		ji4
貾	貾	ci4		ci4
貿	贸	mau6		mau6
賀	贺	ho6		ho6
賁	贲	bi3「賁臨」,ban1「虎賁；姓」		1)bei3:賁臨 2)ban1:虎賁；fan4 宏大
賂	赂	lu6		lou6
賃	赁	jam6		jam6
賄	贿	fui2		kui2；(又)fui2
賅	赅	goi1		goi1
資	资	zi1	(老派)zy1	zi1
賈	贾	gaa2「姓」,gu2「商賈」		1)gaa2:姓賈 2)gu2:商賈；(古)通價
賊	贼	cak6		caak6
賑	赈	zan3		zan3
賒	赊	se1		se1
賓	宾	ban1		ban1
賕	赇	kau4		kau4
賙	赒	zau1		zau1
賚	赉	loi6		loi6
賜	赐	ci3	(老派)cy3	ci3
賞	赏	soeng2		soeng2
賠	赔	pui4		pui4
賡	赓	gang1		gang1
賢	贤	jin4		jin4
賣	卖	maai6		maai6
賤	贱	zin6		zin6
賦	赋	fu3		fu3
賧	赕	daam6		daam6
賨	賨	cung4		cung4
質	质	zat1「質量」,zi3「人質」		1)zat1:物質 2)zi3:人質
賬	账	zoeng3		zoeng3
賭	赌	du2		dou2
賴	赖	laai6		laai6
賺	赚	zaan6		zaan6
賻	赙	fu6		fu6
購	购	kau3		kau3；(又)gau3
賽	赛	soi3		coi3
贄	贽	zi3		zi3
贅	赘	zui6		zeoi6
贇	赟	wan1		wan1
贈	赠	zang6		zang6
贊	赞	zaan3		zaan3
贋	赝	ngaan6		ngaan6
贍	赡	sim6	(又)zim1	sin6；(又)sim6
贏	赢	(白)jeng4	(文)jing4,(又)heng4	jing4；(語)jeng4
贐	赆	zan6		zeon2
贓	赃	zong1		zong1
贔	赑	bi6		bei6
贖	赎	suk6		suk6
贗	赝	ngaan6		ngaan6
贛	赣	gam3		gam3；通貢
赤	赤	cik1		cek3；(又)cik3
赦	赦	se3		se3
赧	赧	naan5		naan5
赫	赫	haak3	(又)hak1	haak1
赭	赭	ze2		ze2
走	走	zau2		zau2
赳	赳	(習)dau2	(書)gau2	gau2；(又)dau2
赴	赴	fu6		fu6
赶	赶	gon2		gon2
起	起	hi2		hei2
趀	趀	ci1	(老派)cy1	ci1
趁	趁	can3		can3
趄	趄	zyu1「趑趄」,ce3「傾斜；趔趄」	(又)cit3「傾斜；趔趄」	zeoi1,ce3,cit3
超	超	ciu1		ciu1
越	越	jyut6		jyut6
趌	趌	gat6「同趷字」		gat6
趍	趍	cyu1		ceoi1
趑	趑	zi1	(老派)zy1	zi1
趒	趒	tiu3		tiu3
趔	趔	lit6		lit6
趕	赶	gon2		gon2
趙	赵	ziu6		ziu6
趟	趟	tong3		tong3
趣	趣	cyu3		ceoi3；(古)同促
趨	趋	cyu1		ceoi1；(古)同促
趯	趯	tik1「跳躍」	(語)dek3「跑」	tik1,dek3
趲	趱	zaan2		zaan2
足	足	zuk1		zuk1；(古)zeoi3足恭
趴	趴	paa1		paa1
趷	趷	gat6「～路，滾蛋，又作趌/䞘字」		gat6
趺	趺	fu1		fu1
趼	趼	gaan2	(白)gen2,(白)zin2	gaan2,gin2
趾	趾	zi2		zi2
趿	趿	(白)taat3「趿拉」	(文)slaap3,(語)slap6「詞綴，拖～～」,(語)slep6,(語)tet1「拖～，拖鞋」	saap3,taat3
跆	跆	toi4		toi4
跋	跋	baat6	(白)bet6	bat6
跌	跌	dit3		dit3
跎	跎	to4		to4
跏	跏	gaa1		gaa1
跑	跑	paau2	(白)peu2	paau2
跔	跔	kyu1「凍僵」		keoi1
跖	跖	zek3		zek3
跗	跗	fu1		fu1
跚	跚	saan1		saan1
跛	跛	(習)bai1	(書)bo2	bo2；(語)bai1
跜	跜	ni4		nei4
距	距	kyu5	(又)gyu6	keoi5
跟	跟	gan1		gan1
跡	迹	zik1		zik1
跣	跣	slin2		sin2
跤	跤	(白)geu1	(文)gaau1	gaau1
跧	跧	cyun4		cyun4
跨	跨	kwaa1		kwaa1；(又)kwaa3
跪	跪	gwai6		gwai6
跬	跬	kwai2		kwai2
跮	跮	ci3		ci3
路	路	lu6		lou6
跳	跳	tiu3		tiu3
跴	跴	caai2「同踩字」	(白)jaai2	caai2,jaai2
跺	跺	do2		do2
跼	跼	guk6		guk6
跽	跽	gi6		gei6
踊	踊	jung2		jung2
踎	踎	mau1「蹲」		mau1
踏	踏	daap6		daap6
踐	践	zin2		cin5；(又)zin6
踒	踒	wo1		wo1
踔	踔	coek3		coek3
踖	踖	zik1		zik1
踜	踜	ling4「跌倒」,ling6「踜蹬」		ling4,ling6
踝	踝	waa5		waa5
踞	踞	gyu3		geoi3
踟	踟	ci4		ci4
踡	踡	kyun4「同蜷字」		kyun4
踢	踢	tek3		tek3
踧	踧	dik6「踧踧」,cuk1「踧踖」		dik6,cuk1
踩	踩	caai2	(白)jaai2	caai2；(又)coi2
踫	踫	pung3		pung3同碰
踭	踭	zaang1「肘；腳跟」		zaang1
踮	踮	dim1		dim3
踱	踱	dok6		dok6
踴	踊	jung2		jung2
踵	踵	zung2		zung2；(又)dung2
踹	踹	caai2「踩」,cyun2「足跟」	(白)jaai2「踩」	caai2
踽	踽	gyu2		geoi2
蹀	蹀	dip6		dip6
蹁	蹁	pin4		pin4
蹂	蹂	jau4		jau4
蹄	蹄	tai4		tai4
蹅	蹅	caa1「誤踏，又作䟕字」		caa1
蹇	蹇	gin2		gin2
蹈	蹈	du6		dou6
蹉	蹉	co1		co1
蹊	蹊	kai1「蹊蹺」,hai4「蹊徑」		1)hai4:蹊徑 2)kai1:蹊蹺
蹋	蹋	daap6		daap6
蹍	蹍	(白)nen2	(文)nin2,(又)zin2	zin2,nin5
蹐	蹐	zek3	(又)zik3	zek3,zik3
蹔	𫏐	zaam6		zaam6
蹕	跸	bat1		bat1
蹙	蹙	cuk1		cuk1
蹜	蹜	sluk1		suk1
蹟	迹	zik1		zik1
蹠	蹠	zek3	(又)zik3	zek3,zik3
蹣	蹒	mun4	(又)pun4	mun4；(又)pun4
蹤	踪	zung1		zung1
蹦	蹦	bang1		bang1；(又)baang6
蹨	蹨	nim3「踮」		nim3
蹩	蹩	bit6		bit6
蹬	蹬	dang6「蹭蹬」,dang1「腳向下用力」		dang6,dang1
蹭	蹭	cang3		sang3
蹯	蹯	faan4		faan4
蹲	蹲	dan1		1)deon1:蹲坐 2)cyun4:蹲了腿
蹴	蹴	cuk1		cuk1
蹶	蹶	kyut3	(又)gyut3	kyut3
蹺	跷	(白)heu1「蹺腳」,kiu2「蹊蹺」	(又)keu1「蹺腳」,(又)hiu1「蹊蹺」	kiu2
蹻	𫏋	giu2「蹻蹻」,goek3「同屩字」,heu1「同蹺字」	(又)keu1「同蹺字」	giu2,goek3,hiu1
蹼	蹼	buk6		buk6；(又)pok3
蹾	蹾	dan3「猛地放下」		dan3
躀	躀	gwaan3「摔倒」		gwaan3
躁	躁	cu3		cou3
躂	跶	taat3		taat3
躄	躄	bik1		bik1
躅	躅	zuk6		zuk6
躇	躇	cyu4		cyu4
躉	趸	dan2「放」		dan2
躊	踌	cau4		cau4
躋	跻	zai1		zai1
躍	跃	joek3		joek3；(又)joek6
躐	躐	lip6		lip6
躑	踯	zaak6		zaak6
躓	踬	zi3		zi3
躔	躔	cin4		cin4
躕	蹰	cyu4		cyu4
躚	跹	cin1	(又)slin1	cin1,sin1
躝	𨅬	laan1「爬行；滾開」		laan1
躞	躞	slip3		sip3
躡	蹑	nip6		nip6
躥	蹿	cyun1		cyun1
躪	躏	lan6	(老派)lyun6	leon6
身	身	san1		san1；(古地名)gyun1身毒
躬	躬	gung1		gung1
躭	躭	daam1		daam1
躲	躲	do2		do2
躺	躺	tong2		tong2
躽	躽	(白)en2「躽胸凸肚」	(文)jin2	jin2
軀	躯	kyu1		keoi1
車	车	ce1「車輛」,gyu1「車馬炮」		1)ce1:火車 2)geoi1:象棋棋子一種
軋	轧	zaat3		zaat3
軌	轨	gwai2		gwai2
軍	军	gwan1		gwan1
軑	轪	daai6		daai6
軒	轩	hin1	(常)hyun1	hin1
軔	轫	jan6		jan6
軚	軚	taai5「方向盤」		taai5
軛	轭	aak3		aak1
軟	软	jyun5		jyun5
軥	軥	kyu4		keoi4
軫	轸	can2	(又)zan2	can2,zan2
軭	軭	waang1「搞砸了」		waang1
軲	轱	gu1		gu1
軶	軶	aak3「同軛字」		aak1
軸	轴	zuk6		zuk6
軹	轵	zi2		zi2
軺	轺	jiu4		jiu4
軻	轲	ko1		o1
軼	轶	jat6		jat6
軾	轼	sik1		sik1
較	较	gaau3		gaau3
輅	辂	lu6		lou6
輈	辀	zau1		zau1
載	载	zoi2「年載」,zoi3「載重」		1)zoi3:載貨 2)zoi2:一年半載
輊	轾	zi3		zi3
輒	辄	zip3		zip3
輓	挽	waan5	(白)wen5	waan5
輔	辅	pu2	(又)fu2	fu6
輕	轻	(白)heng1	(文)hing1	hing1
輛	辆	loeng5	(又)loeng2	loeng6
輜	辎	zi1	(老派)zy1	zi1
輝	辉	(白)wai1	(文)fai1	fai1
輞	辋	mong5		mong5
輟	辍	zyut3		zyut3
輦	辇	(習)nen2	(書)lin5	lin5
輩	辈	bui3		bui3
輪	轮	lan4	(老派)lyun4	leon4
輬	辌	loeng4		loeng4
輯	辑	cap1		cap1
輳	辏	cau3		cau3
輷	𫐒	gwang1	(又)kwang1	gwang1
輸	输	syu1		syu1
輻	辐	fuk1		fuk1
輼	辒	wan1		wan1
輾	辗	(白)nen2	(文)nin2,(又)zin2	zin2
輿	舆	jyu4		jyu4
轀	辒	wan1		wan1
轂	毂	guk1		guk1
轄	辖	hat6		hat6
轅	辕	jyun4		jyun4
轆	辘	luk1		luk1
轇	𫐖	gaau1		gaau1
轉	转	zyun3「轉動」,zyun2「轉運」		1)zyun2:轉送 2)zyun3:轉得快
轍	辙	zit3		cit3
轎	轿	giu6		giu2；(語)kiu2
轔	辚	lan4	(老派)lyun4	leon4
轗	𫐘	ham2		ham2
轟	轰	gwang1	(又)kwang1,(又)hung1	gwang1
轡	辔	bi3	(又)bai3	bei3
轤	轳	lu4		lou4
辛	辛	slan1		san1
辜	辜	gu1		gu1
辟	辟	pik1		pik1；復辟又讀bik1
辣	辣	laat6		laat6
辦	办	baan6		baan6
辨	辨	bin6		bin6
辭	辞	ci4	(老派)cy4	ci4
辮	辫	bin1		bin1
辯	辩	bin6		bin6
辰	辰	san4		san4
辱	辱	juk6		juk6
農	农	nung4		nung4
辴	辴	can2		can2
辷	辷	jat1		jat1
辻	辻	sap6		sap6
込	込	jap6	(又)jyu1	jap6,jyu1
辿	辿	cin4		cin4
迂	迂	jyu1		jyu1
迄	迄	ngat6「迄今」	(又)hat1	ngat6
迅	迅	slan3	(老派)slyun3	seon3
迆	迆	ji5「同迤字，迆邐」,ji4「同迤字，逶迆」		ji5,ji4
迍	迍	zan1「迍邅」,tan4「迍迍」	(老派)zyun1	zeon1,tyun4
迎	迎	jing4	(語)jing6「踮」,(語)nging4「踮」	jing4
近	近	(白)kan5「行近」	(文)gan6「近視」	gan6；(語)kan5
迓	迓	ngaa6		ngaa6
返	返	faan2「返回」	(語)faan1「返學，返工」	faan2
迕	迕	ng5	(又)ng6	ng6,ng5
迚	迚	zung1		zung1
迢	迢	tiu4		siu4
迤	迤	ji5「迤邐」,ji4「逶迤」		1)ji5:迤邐 2)ji4:逶迤
迥	迥	gwing2		gwing2
迦	迦	gaa1		gaa1
迨	迨	doi6		doi6
迪	迪	dik6		dik6
迫	迫	paak3	(訓)bik1「訓讀爲逼」	1)baak1:壓迫 2)bik1:迫擊炮
迭	迭	dit6		dit6
述	述	sat6	(老派)slyut6,(又)slat6	seot6
迴	回	wui4		wui4
迷	迷	(書)mai4	(習)mi4	mai4
迸	迸	bing3		bing3
迺	迺	naai5		naai5
追	追	zui1		zeoi1
